Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD)
2000,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,3528.31,2045.6
2000,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6167.12,3575.5
2000,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,4094.57,2373.9
2000,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,3668.88,2127.1
2000,Australia,AUS,Oceania,I,Manufacture of basic metals,9556.06,5540.3
2000,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",15100.16,8754.6
2000,Australia,AUS,Oceania,K,Manufacture of transport equipment,7979.39,4626.2
2001,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",19627.73,10151.7
2001,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2913.7,1507.0
2001,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3230.4,1670.8
2001,Australia,AUS,Oceania,D,Manufacture of paper products and printing,6871.26,3553.9
2001,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,3396.09,1756.5
2001,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6406.46,3313.5
2001,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,3973.42,2055.1
2001,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,3130.44,1619.1
2001,Australia,AUS,Oceania,I,Manufacture of basic metals,10414.3,5386.4
2001,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",16094.75,8324.4
2001,Australia,AUS,Oceania,K,Manufacture of transport equipment,7989.76,4132.4
2002,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",19877.53,10799.7
2002,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2850.85,1548.9
2002,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3538.11,1922.3
2002,Australia,AUS,Oceania,D,Manufacture of paper products and printing,7038.5,3824.1
2002,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,3260.19,1771.3
2002,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6250.74,3396.1
2002,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,4003.22,2175.0
2002,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,3540.51,1923.6
2002,Australia,AUS,Oceania,I,Manufacture of basic metals,10083.89,5478.7
2002,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",16625.62,9032.9
2002,Australia,AUS,Oceania,K,Manufacture of transport equipment,8074.37,4386.9
2003,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",19118.5,12399.2
2003,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2997.17,1943.8
2003,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3489.35,2263.0
2003,Australia,AUS,Oceania,D,Manufacture of paper products and printing,6966.83,4518.3
2003,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,2917.3,1892.0
2003,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6595.07,4277.2
2003,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,4061.09,2633.8
2003,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,4870.6,3158.8
2003,Australia,AUS,Oceania,I,Manufacture of basic metals,9900.94,6421.2
2003,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",16849.41,10927.6
2003,Australia,AUS,Oceania,K,Manufacture of transport equipment,7953.65,5158.3
2004,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",19731.63,14511.2
2004,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2932.71,2156.8
2004,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3486.54,2564.1
2004,Australia,AUS,Oceania,D,Manufacture of paper products and printing,7095.05,5217.9
2004,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,3840.48,2824.4
2004,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6997.15,5145.9
2004,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,4064.03,2988.8
2004,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,3965.85,2916.6
2004,Australia,AUS,Oceania,I,Manufacture of basic metals,10300.94,7575.6
2004,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",17793.44,13085.8
2004,Australia,AUS,Oceania,K,Manufacture of transport equipment,8886.66,6535.5
2005,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",20875.36,15941.8
2005,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2668.97,2038.2
2005,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3928.81,3000.3
2005,Australia,AUS,Oceania,D,Manufacture of paper products and printing,7238.9,5528.1
2005,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,5406.16,4128.5
2005,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,6984.34,5333.7
2005,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,4784.55,3653.8
2005,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,4346.4,3319.2
2005,Australia,AUS,Oceania,I,Manufacture of basic metals,11277.44,8612.2
2005,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",18876.31,14415.2
2005,Australia,AUS,Oceania,K,Manufacture of transport equipment,9330.13,7125.1
2006,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",21419.81,16129.7
