Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2017,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,194464440000.0,11741100000.0
ARG,Argentina,2017,22,Manufacture of rubber and plastics products,Current prices,71386940000.0,4310100000.0
ARG,Argentina,2017,23,Manufacture of other non-metallic mineral products,Current prices,65283580000.0,3941600000.0
ARG,Argentina,2017,24,Manufacture of basic metals,Current prices,87346760000.0,5273700000.0
ARG,Argentina,2017,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,215664700000.0,13021100000.0
ARG,Argentina,2017,29-30,Manufacture of transport equipment,Current prices,87601830000.0,5289100000.0
ARG,Argentina,2018,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,701427940000.0,24966300000.0
ARG,Argentina,2018,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,121434980000.0,4322300000.0
ARG,Argentina,2018,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,29196310000.0,1039200000.0
ARG,Argentina,2018,17-18,Manufacture of paper products and printing,Current prices,133046620000.0,4735600000.0
ARG,Argentina,2018,19,Manufacture of coke and refined petroleum products,Current prices,93561940000.0,3330200000.0
ARG,Argentina,2018,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,274229590000.00003,9760800000.0
ARG,Argentina,2018,22,Manufacture of rubber and plastics products,Current prices,94483450000.0,3363000000.0
ARG,Argentina,2018,23,Manufacture of other non-metallic mineral products,Current prices,92595470000.0,3295800000.0
ARG,Argentina,2018,24,Manufacture of basic metals,Current prices,147554890000.0,5252000000.0
ARG,Argentina,2018,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,273808159999.99997,9745800000.0
ARG,Argentina,2018,29-30,Manufacture of transport equipment,Current prices,131094030000.0,4666100000.0
AUS,Australia,2000,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19295290000.0,11186800000.0
AUS,Australia,2000,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,2967560000.0,1720500000.0
AUS,Australia,2000,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3428610000.0,1987800000.0
AUS,Australia,2000,17-18,Manufacture of paper products and printing,Current prices,6665940000.0,3864700000.0
AUS,Australia,2000,19,Manufacture of coke and refined petroleum products,Current prices,3528310000.0,2045600000.0
AUS,Australia,2000,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,6167120000.0,3575500000.0
AUS,Australia,2000,22,Manufacture of rubber and plastics products,Current prices,4094570000.0,2373900000.0
AUS,Australia,2000,23,Manufacture of other non-metallic mineral products,Current prices,3668880000.0,2127100000.0
AUS,Australia,2000,24,Manufacture of basic metals,Current prices,9556060000.0,5540300000.0
AUS,Australia,2000,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,15100160000.0,8754600000.0
AUS,Australia,2000,29-30,Manufacture of transport equipment,Current prices,7979390000.0,4626200000.0
AUS,Australia,2001,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19627730000.0,10151700000.0
