Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
ARG,Argentina,2005,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,10864.62,3741.7
ARG,Argentina,2005,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,2484.66,855.7
ARG,Argentina,2005,17-18,Manufacture of paper products and printing,Current prices,Source,7939.77,2734.4
ARG,Argentina,2005,19,Manufacture of coke and refined petroleum products,Current prices,Source,5834.03,2009.2
ARG,Argentina,2005,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,14622.54,5035.9
ARG,Argentina,2005,22,Manufacture of rubber and plastics products,Current prices,Source,5552.96,1912.4
ARG,Argentina,2005,23,Manufacture of other non-metallic mineral products,Current prices,Source,4469.31,1539.2
ARG,Argentina,2005,24,Manufacture of basic metals,Current prices,Source,10449.4,3598.7
ARG,Argentina,2005,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,15598.75,5372.1
ARG,Argentina,2005,29-30,Manufacture of transport equipment,Current prices,Source,6941.2,2390.5
ARG,Argentina,2006,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,37533.8,12288.8
ARG,Argentina,2006,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,12380.34,4053.4
ARG,Argentina,2006,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,3063.17,1002.9
ARG,Argentina,2006,17-18,Manufacture of paper products and printing,Current prices,Source,9574.65,3134.8
ARG,Argentina,2006,19,Manufacture of coke and refined petroleum products,Current prices,Source,6043.56,1978.7
